RMSE,accuracy,spearman_corr,corr,R^2 score,feature,model
0.07839530818930014,0.8290506889914143,0.08993324880695112,0.0955457502436672,0.00912899038962523,fundamental_only,rf
0.18530672525704456,0.8261417807165924,0.10653997577392556,0.14112017101117247,0.01991490266622256,fundamental_only,rf
0.0693280934783915,0.7919198705224906,0.09886977985584759,0.09937974034948985,0.00987633279193202,fundamental_only,rf
0.10405784192741716,0.717836748404434,0.08533076653849345,0.11503374645479932,0.013232762823427054,fundamental_only,rf
0.10634915691760949,0.8585575888051669,0.08406775644315138,0.08875521002275777,0.007877487306183841,fundamental_only,rf
0.13140550088561181,0.7720064774359131,0.08676793605036315,0.12226353560697739,0.014948372139118628,fundamental_only,rf
0.08134796040070372,0.8140487029851202,0.08379569077359045,0.08212039577638983,0.006743759402470904,fundamental_only,extraTree
0.18496916251055956,0.8180224511763802,0.09702876615855092,0.11502425272828028,0.013230578715699293,fundamental_only,extraTree
0.07251697453665155,0.7732616728249916,0.06775151719575537,0.06564214395726102,0.0043088910633057795,fundamental_only,extraTree
0.10939186767270612,0.6994839221913458,0.054879307383622206,0.06264852977490773,0.0039248382829575,fundamental_only,extraTree
0.10849752261223465,0.8442872520375212,0.08474724595791448,0.08775449650842733,0.007700851657447584,fundamental_only,extraTree
0.13378848236294882,0.7632069418558465,0.0703969993571297,0.08311608474556445,0.006908283543431852,fundamental_only,extraTree
0.07450553930133327,0.8385224113171805,0.17256170828493933,0.1835344739393736,0.03368490312420261,fundamental_only,gbr
0.16498073703985092,0.8315546670767339,0.13637881254688658,0.18398526602965493,0.033850578116002894,fundamental_only,gbr
0.06534281288814989,0.8054783644303295,0.16303401417864402,0.16305808656681076,0.02658793959482955,fundamental_only,gbr
0.09812354458586192,0.747763153876691,0.12516083332843123,0.14131927626162974,0.019971137843110828,fundamental_only,gbr
0.10376710457029971,0.8679071197908658,0.14739532933030725,0.15995283581592584,0.025584909685556528,fundamental_only,gbr
0.11833633779827085,0.7931192520394756,0.1259216191987774,0.17045414814659915,0.02905461662038277,fundamental_only,gbr
0.08198074083226074,0.8160041553362462,0.07356378984170443,0.07478438966608898,0.005592704937729436,return_only,rf
0.18660063638170238,0.8254959249577118,0.11453284542459184,0.11972103304235931,0.014333125752729691,return_only,rf
0.07169295147710442,0.7719180382935842,0.08668771053898015,0.0908744485323568,0.008258165396059964,return_only,rf
0.10829835540308767,0.7193025315296058,0.07336390047520902,0.0996486424270932,0.00992985193756268,return_only,rf
0.11131687375700834,0.8526526218668307,0.04620208113575535,0.03644818445920607,0.001328470150372311,return_only,rf
0.13363681175088704,0.7764673531119191,0.10260146807816588,0.11973711776342037,0.014336977370291198,return_only,rf
0.08203024519382475,0.8119710348620489,0.07725528554410648,0.07972896632713022,0.006356708071592665,return_only,extraTree
0.18781468249523137,0.8223281562355835,0.11485074988147154,0.11084239955568069,0.012286037539261163,return_only,extraTree
0.0721949136143168,0.7659632943475738,0.07819144311124358,0.0885352853213119,0.007838496746926106,return_only,extraTree
0.11185017991615837,0.7110880385989556,0.05417228410645852,0.07242742265939824,0.005245731553083113,return_only,extraTree
0.11122943310567532,0.8488389973858219,0.04604027157808982,0.0439420917399206,0.001930907426479598,return_only,extraTree
0.13404265282148614,0.7712426288612545,0.08862803187540277,0.09266896520948603,0.008587537112996932,return_only,extraTree
0.07678931807249856,0.8385529652601669,0.12852505419081334,0.11156193298143562,0.012446064890554331,return_only,gbr
0.16358496838377357,0.8322927879440258,0.24544529169047605,0.2184843719858815,0.04773542080206504,return_only,gbr
0.067578549695766,0.8060891073991511,0.15868379371356317,0.11786830987486897,0.013892938472758135,return_only,gbr
0.10002919837205798,0.7484960454392768,0.15814405342719853,0.14020902250465694,0.019658569991711398,return_only,gbr
0.10689187836045465,0.8679378748270029,0.08519095688251599,0.05468806024594832,0.002990783933464473,return_only,gbr
0.11804058894508612,0.7934858993553118,0.20708683407546755,0.2020536653055779,0.04082568366341849,return_only,gbr
0.07746302385694494,0.8234593174249137,0.17404997396916627,0.1805939013655489,0.0326141572104296,technical_only,rf
0.1857030864573461,0.8303552206673843,0.21695598514741923,0.1936108352483122,0.037485155525549096,technical_only,rf
0.0680435615627627,0.778849970989709,0.18470079843016146,0.18908379775465856,0.03575268257332462,technical_only,rf
0.138636195708469,0.7356399059455828,0.1255869174966118,0.07437636224942204,0.0055318432614572515,technical_only,rf
0.10687295050220216,0.8586806089497155,0.13117338670089226,0.12134773253721366,0.014725272191923143,technical_only,rf
0.13143908717985697,0.7854502123499038,0.17648898389818887,0.1823595102876038,0.03325499099233468,technical_only,rf
0.07754590930324978,0.8243453817715176,0.16490986286891965,0.1758030392755344,0.030906708618515088,technical_only,extraTree
0.17360489680905583,0.830109180378287,0.20037508573104412,0.2031953636375391,0.04128835580379175,technical_only,extraTree
0.06794821073693245,0.7864537209515375,0.18247596837352598,0.188380572780909,0.03548724020126335,technical_only,extraTree
0.10163216718756825,0.7323418939139463,0.14380110369354976,0.15789092075224645,0.02492954285599217,technical_only,extraTree
0.10657090455606812,0.8600953406120252,0.13733399367722623,0.129897476419643,0.016873354380191708,technical_only,extraTree
0.12462654163055785,0.7871001252711662,0.17097044067106645,0.1885345038565848,0.03554525914444859,technical_only,extraTree
0.07448052239813574,0.835986434049314,0.21345314121478537,0.21973210509265137,0.048282198008447984,technical_only,gbr
0.23299362782325542,0.8322927879440258,0.23207212988203713,0.10123617002892735,0.010248762122125887,technical_only,gbr
0.06424513165210868,0.8056615873209759,0.24732311356093453,0.25267085057510635,0.06384255873034772,technical_only,gbr
0.18794534016601475,0.747366170946957,0.18455072521300425,0.033078512181774385,0.0010941879681597964,technical_only,gbr
0.104655158682933,0.8632938643702907,0.16884197140069485,0.15830692352157988,0.02506108203486734,technical_only,gbr
0.22025404794143708,0.7934247914693391,0.2125940187738932,0.051778995096809256,0.002681064333235397,technical_only,gbr
0.0775710442569044,0.8258425249778484,0.16157630620268282,0.16533653520920247,0.027336169874983846,fundamental+technical,rf
0.18442283565899795,0.8308473012455789,0.22257998382204328,0.2183680374104258,0.04768459976248112,fundamental+technical,rf
0.06838634820720033,0.7841939719668978,0.1793435163940117,0.17861852199717498,0.031904576400455284,fundamental+technical,rf
0.10595097700821166,0.7354872202033774,0.1475394690208057,0.15443433884050728,0.023849965013104615,fundamental+technical,rf
0.10562862396579692,0.8605566661540828,0.13370607670638515,0.13178821652502912,0.017368134014847957,fundamental+technical,rf
0.13522424658848475,0.7859696293806716,0.17802549443859503,0.18304846615514436,0.03350674096175103,fundamental+technical,rf
0.07816149783975478,0.8271868984692474,0.15163293149943355,0.16331389151625714,0.026671427162183806,fundamental+technical,extraTree
0.18072872561645537,0.8303552206673843,0.22458383469975826,0.2028761448735815,0.04115873015876643,fundamental+technical,extraTree
0.06839715707952572,0.7878889669282683,0.17273176716349428,0.1836168494082819,0.03371514738662368,fundamental+technical,extraTree
0.10404744004201281,0.7326778025467982,0.1295460676200387,0.13494064200779537,0.01820897686547599,fundamental+technical,extraTree
0.10596774865327406,0.8584345686606182,0.1192741304949793,0.12373003566954774,0.015309121726787556,fundamental+technical,extraTree
0.12975448743690599,0.7864890464114394,0.17524949738806647,0.18700297602324176,0.03497011304154913,fundamental+technical,extraTree
0.07501272279159482,0.835894772220355,0.20731283147932655,0.1983816188155025,0.03935526668385934,fundamental+technical,gbr
0.1660764524042299,0.8322927879440258,0.2519000998263154,0.23204046567706893,0.053842777711631006,fundamental+technical,gbr
0.06481279812401047,0.8048370843130669,0.2441464273565942,0.24406701899007177,0.05956870975870005,fundamental+technical,gbr
0.1194621814343619,0.7479769139157786,0.20186108797954846,0.07957606558998992,0.006332350214782378,fundamental+technical,gbr
0.10403712910259925,0.8653544517914808,0.15460726770666586,0.14187387030462215,0.020128195075212747,fundamental+technical,gbr
0.12563390750340162,0.7934553454123254,0.2354054179385019,0.17401144664874374,0.030279983564788587,fundamental+technical,gbr
